id,remuneracion,integrantes
1,523912,3
2,499255,5
3,575279,3
4,438714,3
5,582495,3
6,493912,4
7,524052,4
8,505852,3
9,478580,3
10,463493,5
11,500035,4
12,527247,3
13,487727,5
14,690806,3
15,643308,3
16,466873,3
17,626162,3
18,631822,4
19,506744,3
20,614580,4
21,503163,2
22,487625,3
23,607623,2
24,635707,5
25,620946,5
26,505416,3
27,587278,3
28,539134,4
29,570168,5
30,554377,3
31,475661,4
32,616631,3
33,711666,2
34,598251,4
35,462140,5
36,573819,3
37,596327,3
38,562829,3
39,590090,3
40,522358,4
41,491025,5
42,555094,4
43,564947,3
44,505006,3
45,563167,5
46,682744,3
47,559160,5
48,625754,4
49,632442,4
50,603609,3
51,510184,3
52,590950,5
53,538760,3
54,672061,3
55,498906,5
56,597653,3
57,534455,4
58,498066,3
59,537182,4
60,612964,5
61,521879,3
62,589867,3
63,605343,3
64,573632,4
65,563828,3
66,501360,5
67,667388,4
68,610780,4
69,613983,3
70,492713,4
71,631235,5
72,647780,3
73,634914,4
74,514282,3
75,531542,3
76,595713,3
77,586579,4
78,521468,5
79,581662,3
80,504576,3
81,508677,2
82,554857,3
83,519265,3
84,472087,4
85,505919,3
86,598735,4
87,625424,4
88,493661,4
89,570695,3
90,562964,5
91,672717,4
92,694014,3
93,452942,3
94,633162,2
95,567278,4
96,520240,4
97,531219,3
98,665119,4
99,533419,3
100,597178,3
101,496143,3
102,589725,3
103,543307,3
104,567051,4
105,626951,4
106,523769,4
107,648933,3
108,463068,4
109,573390,3
110,709289,4
111,622434,4
112,510770,4
113,519266,4
114,586335,4
115,606194,3
116,485441,3
117,607218,3
118,631005,3
119,542644,3
120,546928,3
121,523511,3
122,524620,4
123,545480,5
124,771739,3
125,489702,5
126,567108,3
127,474596,4
128,565655,4
129,579066,3
130,531625,3
131,651592,2
132,522300,4
133,635396,5
134,622000,4
135,438542,3
136,660360,4
137,562040,3
138,503290,3
139,511063,2
140,466599,3
141,616259,4
142,608310,5
143,598343,5
144,573673,3
145,547668,3
146,482775,2
147,695099,3
148,584308,3
149,624918,3
150,490363,3
151,567876,4
152,568689,3
153,539111,3
154,508852,3
155,589466,3
156,545167,3
157,579961,3
158,627284,4
