PARTIDO;COMUNA;RANGO_EDAD;SEXO;CATEGORIA
AMPLITUD;San Gregorio;30-34;Masculino;Nuevo
AMPLITUD;Punta Arenas;60-64;Femenino;Nuevo
TODOS;Punta Arenas;40-44;Masculino;Nuevo
TODOS;Rio Verde;18 a 19;Femenino;Nuevo
REVOLUCION DEMOCRATICA;Natales;25-29;Masculino;Nuevo
LIBERAL DE CHILE;Rio Verde;35-39;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;25-29;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;50-54;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;25-29;Masculino;Nuevo
ANDHA CHILE;Natales;40-44;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;30-34;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;50-54;Masculino;Nuevo
ANDHA CHILE;Torres Del Paine;65-69;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;35-39;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;50-54;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;25-29;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;50-54;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;30-34;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;35-39;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;50-54;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;35-39;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;40-44;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;20-24;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;20-24;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;20-24;Masculino;Nuevo
ANDHA CHILE;Natales;18 a 19;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;25-29;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;35-39;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;20-24;Masculino;Nuevo
ANDHA CHILE;Timaukel;50-54;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;40-44;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;60-64;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;30-34;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;50-54;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;50-54;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;35-39;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;25-29;Masculino;Nuevo
ANDHA CHILE;Punta Arenas;30-34;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;50-54;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;20-24;Femenino;Nuevo
ANDHA CHILE;Punta Arenas;50-54;Femenino;Nuevo
