Nombre Institución;Tipo Institución;Nombre de la Sede;Comuna donde se imparte la carrera o programa;Nombre Region;Orden Geográfico de la Región (Norte aSur);Carrera Genérica;Nombre Programa;Area Conocimiento;Vacantes (1)
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Antofagasta;Antofagasta;Región de Antofagasta;3;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Arica;Arica;Región de Arica y Parinacota;1;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Calama;Calama;Región de Antofagasta;3;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Chillán;Chillán;Región de Ñuble;11;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Copiapó;Copiapó;Región de Atacama;4;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Coyhaique;Coyhaique;Región de Aysén;15;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Curicó;Curicó;Región del Maule;9;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Iquique;Iquique;Región de Tarapacá;2;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;La Serena;La Serena;Región de Coquimbo;5;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Maipú;Maipú;Región Metropolitana;7;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Los Ángeles;Los Ángeles;Región del Bío-Bío;10;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Maipú;Maipú;Región Metropolitana;7;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Osorno;Osorno;Región de Los Lagos;14;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Puerto Montt;Puerto Montt;Región de Los Lagos;14;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Punta Arenas;Punta Arenas;Región de Magallanes;16;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Talca;Talca;Región del Maule;9;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Temuco;Temuco;Región de La Araucanía;12;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Valdivia;Valdivia;Región de los Ríos;13;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
U. TECNOLÓGICA DE CHILE INACAP;Univ.;Valparaíso;Valparaíso;Región de Valparaíso;6;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social (P.E.);Ciencias Sociales;15
I.P. INACAP;I.P.;Arica;Arica;Región de Arica y Parinacota;1;Administración Hotelera, Turística y similares;Administración Turística Internacional;Administración y Comercio;15
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Administración Hotelera, Turística y similares;Administración Turística Internacional;Administración y Comercio;15
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Administración Hotelera, Turística y similares;Administración Turística Internacional;Administración y Comercio;35
I.P. INACAP;I.P.;Renca;Las Condes;Región Metropolitana;7;Administración Hotelera, Turística y similares;Administración Turística Internacional;Administración y Comercio;30
I.P. INACAP;I.P.;Renca;Ñuñoa;Región Metropolitana;7;Administración Hotelera, Turística y similares;Administración Turística Internacional;Administración y Comercio;25
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Administración Hotelera, Turística y similares;Administración Turística Internacional;Administración y Comercio;35
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Administración Hotelera, Turística y similares;Administración Turística Internacional;Administración y Comercio;15
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Contabilidad, Auditoría y similares;Contador Público;Administración y Comercio;25
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Contabilidad, Auditoría y similares;Contador Público;Administración y Comercio;20
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Contabilidad, Auditoría y similares;Contador Público;Administración y Comercio;20
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Contabilidad, Auditoría y similares;Contador Público;Administración y Comercio;35
I.P. INACAP;I.P.;Puerto Montt;Puerto Montt;Región de Los Lagos;14;Contabilidad, Auditoría y similares;Contador Público;Administración y Comercio;20
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Contabilidad, Auditoría y similares;Contador Público;Administración y Comercio;25
I.P. INACAP;I.P.;Renca;Santiago;Región Metropolitana;7;Contabilidad, Auditoría y similares;Contador Público;Administración y Comercio;30
I.P. INACAP;I.P.;Renca;Santiago;Región Metropolitana;7;Contabilidad, Auditoría y similares;Contador Público;Administración y Comercio;30
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;70
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;40
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;45
I.P. INACAP;I.P.;Renca;Las Condes;Región Metropolitana;7;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;275
I.P. INACAP;I.P.;Renca;Las Condes;Región Metropolitana;7;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;50
I.P. INACAP;I.P.;Los Ángeles;Los Ángeles;Región del Bío-Bío;10;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;30
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;30
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;30
I.P. INACAP;I.P.;Talca;Talca;Región del Maule;9;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;52
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;70
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;35
I.P. INACAP;I.P.;Valdivia;Valdivia;Región de los Ríos;13;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;30
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Gastronomía, Cocina Internacional y similares;Administración Gastronómica;Administración y Comercio;40
